DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,5/12/2020,Restaurants,14889
DRE,Duke Realty Corp,Real Estate,Industrial REITs,7/26/2017,Industrial REITs,15394
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,,Restaurants,16802
DTE,DTE Energy Co.,Utilities,Multi-Utilities,3/4/1957,Multi-Utilities,23343
DUK,Duke Energy,Utilities,Electric Utilities,6/30/1976,Electric Utilities,65043
DVA,DaVita Inc.,Health Care,Health Care Facilities,7/31/2008,Health Care Facilities,11341
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,8/30/2000,Oil & Gas Exploration & Production,14047
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,4/4/2017,IT Consulting & Other Services,6590
DXCM,DexCom,Health Care,Health Care Equipment,5/12/2020,Health Care Equipment,38891
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,7/22/2002,Interactive Home Entertainment,41929
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,7/22/2002,Internet & Direct Marketing Retail,42775
ECL,Ecolab Inc.,Materials,Specialty Chemicals,1/31/1989,Specialty Chemicals,60202
ED,Consolidated Edison,Utilities,Electric Utilities,,Electric Utilities,23719
EFX,Equifax Inc.,Industrials,Research & Consulting Services,6/19/1997,Research & Consulting Services,21265
EIX,Edison Int'l,Utilities,Electric Utilities,3/4/1957,Electric Utilities,21567
EL,Estée Lauder Companies,Consumer Staples,Personal Products,1/5/2006,Personal Products,107282
EMN,Eastman Chemical,Materials,Diversified Chemicals,1/1/1994,Diversified Chemicals,14944
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,3/31/1965,Electrical Components & Equipment,51044
ENPH,Enphase Energy,Information Technology,Electronic Components,1/7/2021,Electronic Components,24444
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,11/2/2000,Oil & Gas Exploration & Production,36810
EQIX,Equinix,Real Estate,Specialized REITs,3/20/2015,Specialized REITs,61309
EQR,Equity Residential,Real Estate,Residential REITs,12/3/2001,Residential REITs,25007
ES,Eversource Energy,Utilities,Multi-Utilities,,Multi-Utilities,28759
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,4/2/2014,Residential REITs,17483
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,,Electrical Components & Equipment,49824
ETR,Entergy Corp.,Utilities,Electric Utilities,3/4/1957,Electric Utilities,18771
